"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.079728655E0,8.379705995E-2,9.552865028E0,1.741781682E-1,9.554820262E0
1.084696311E0,5.985504389E-2,9.576807022E0,1.693897694E-1,9.578491962E0
1.089663967E0,6.464344263E-2,9.615114212E0,2.076970041E-1,9.617574441E0
1.094631624E0,5.506663769E-2,9.658209801E0,2.029085904E-1,9.660497957E0
1.099599280E0,5.506663769E-2,9.706093788E0,2.124854028E-1,9.708575539E0
1.104566936E0,5.506663769E-2,9.758766174E0,2.316390127E-1,9.761670257E0
1.109534592E0,6.464344263E-2,9.811438560E0,2.316390127E-1,9.814385464E0
1.114502249E0,4.548983276E-2,9.864110947E0,2.316390127E-1,9.866935225E0
1.119469905E0,4.548983276E-2,9.907206535E0,2.603694201E-1,9.910731703E0
1.124437561E0,4.548983276E-2,9.955090523E0,2.699462473E-1,9.958853730E0
1.129405217E0,4.548983276E-2,9.983820915E0,2.795230448E-1,9.987836729E0
1.134372874E0,4.548983276E-2,1.001255131E1,2.747346461E-1,1.001642312E1
1.139340530E0,4.070143029E-2,1.003649330E1,2.795230448E-1,1.004046750E1
1.144308186E0,4.070143029E-2,1.005564690E1,2.890998423E-1,1.005988419E1
1.149275842E0,4.070143029E-2,1.007958889E1,2.890998423E-1,1.008381612E1
1.154243499E0,3.591302410E-2,1.008437729E1,3.130418658E-1,1.008929880E1
1.159211155E0,4.070143029E-2,1.009874249E1,3.226186931E-1,1.010397641E1
1.164178811E0,3.591302410E-2,1.011310768E1,3.130418658E-1,1.011801522E1
1.169146467E0,2.154781483E-2,1.011310768E1,3.274070919E-1,1.011842906E1
1.174114124E0,1.197100803E-2,1.010831928E1,3.369838893E-1,1.011394187E1
1.179081780E0,-2.394201700E-3,1.012268448E1,3.321954906E-1,1.012813411E1
1.184049436E0,-7.182605099E-3,1.013704967E1,3.369838893E-1,1.014265182E1
1.189017092E0,-2.633621916E-2,1.015620327E1,3.369838893E-1,1.016182644E1
1.193984749E0,-3.591302410E-2,1.018972206E1,3.465606868E-1,1.019567701E1
1.198952405E0,-4.548983276E-2,1.021366405E1,3.561375141E-1,1.021997244E1
1.203920061E0,-6.464344263E-2,1.028070164E1,3.609259129E-1,1.028723833E1
1.208887717E0,-8.858546615E-2,1.032379818E1,3.705027103E-1,1.033082419E1
1.213855374E0,-1.173158810E-1,1.036689377E1,3.417722881E-1,1.037318937E1
1.218823030E0,-1.460463107E-1,1.043871975E1,3.130418658E-1,1.044443367E1
1.223790686E0,-1.604115069E-1,1.048181534E1,3.082534671E-1,1.048757383E1
1.228758394E0,-1.699883193E-1,1.052491093E1,3.034650683E-1,1.053065701E1
1.233726103E0,-1.891419291E-1,1.055364132E1,3.082534671E-1,1.055983617E1
1.238693811E0,-2.082955539E-1,1.061589050E1,3.034650683E-1,1.062226950E1
1.243661519E0,-2.035071403E-1,1.065898609E1,2.938882709E-1,1.066497867E1
1.248629228E0,-2.035071403E-1,1.073081207E1,2.651578486E-1,1.073601656E1
1.253596936E0,-2.178723514E-1,1.077869606E1,2.460042238E-1,1.078370415E1
1.258564644E0,-2.274491638E-1,1.080742645E1,2.268506140E-1,1.081219963E1
1.263532353E0,-2.466027737E-1,1.081221485E1,2.172738016E-1,1.081720901E1
1.268500061E0,-2.466027737E-1,1.083136845E1,2.076970041E-1,1.083616599E1
1.273467769E0,-2.513911724E-1,1.080263805E1,2.076970041E-1,1.080755867E1
1.278435478E0,-2.609679997E-1,1.079306126E1,1.981201917E-1,1.079803349E1
1.283403186E0,-2.801215947E-1,1.074517727E1,1.981201917E-1,1.075065367E1
1.288370894E0,-2.801215947E-1,1.072602367E1,1.933317930E-1,1.073142251E1
1.293338603E0,-2.753331959E-1,1.070687008E1,1.933317930E-1,1.071215443E1
1.298306311E0,-2.609679997E-1,1.070208168E1,1.885433793E-1,1.070692324E1
1.303274019E0,-2.513911724E-1,1.070208168E1,1.885433793E-1,1.070669409E1
1.308241728E0,-2.226607651E-1,1.072602367E1,1.789665818E-1,1.072982715E1
1.313209436E0,-2.178723514E-1,1.074996567E1,1.598129570E-1,1.075336089E1
1.318177144E0,-2.178723514E-1,1.077390766E1,1.885433793E-1,1.077775966E1
1.323144853E0,-2.130839527E-1,1.080742645E1,2.029085904E-1,1.081143114E1
1.328112561E0,-2.130839527E-1,1.084573364E1,1.981201917E-1,1.084963569E1
1.333080269E0,-2.082955539E-1,1.087446404E1,2.029085904E-1,1.087835130E1
1.338047978E0,-1.891419291E-1,1.090319443E1,2.029085904E-1,1.090672248E1
1.343015686E0,-1.651999205E-1,1.093671322E1,1.885433793E-1,1.093958572E1
1.347983394E0,-1.556231081E-1,1.092234802E1,2.268506140E-1,1.092581192E1
1.352951103E0,-1.651999205E-1,1.091755962E1,2.268506140E-1,1.092116570E1
1.357918811E0,-1.843535304E-1,1.090319443E1,2.412158251E-1,1.090742041E1
1.362886519E0,-2.035071403E-1,1.088404083E1,2.412158251E-1,1.088861539E1
1.367854228E0,-2.035071403E-1,1.089361763E1,2.268506140E-1,1.089787968E1
1.372821936E0,-2.130839527E-1,1.088404083E1,2.220622003E-1,1.088839112E1
1.377789644E0,-2.274491638E-1,1.087446404E1,2.076970041E-1,1.087882527E1
1.382757353E0,-2.561795712E-1,1.084573364E1,2.172738016E-1,1.085093425E1
1.387725061E0,-2.801215947E-1,1.081221485E1,2.364274114E-1,1.081842669E1
1.392692769E0,-2.944868207E-1,1.080263805E1,2.364274114E-1,1.080923722E1
1.397660478E0,-3.040636182E-1,1.078348446E1,2.507926226E-1,1.079068527E1
1.402628186E0,-3.088520169E-1,1.078827286E1,2.507926226E-1,1.079560641E1
1.407595894E0,-3.136404157E-1,1.078348446E1,2.460042238E-1,1.079084915E1
1.412563603E0,-3.136404157E-1,1.080742645E1,2.460042238E-1,1.081477484E1
1.417531311E0,-3.136404157E-1,1.082658005E1,2.364274114E-1,1.083370222E1
1.422499019E0,-3.184288144E-1,1.084094524E1,2.364274114E-1,1.084819748E1
1.427466728E0,-3.136404157E-1,1.086009884E1,2.172738016E-1,1.086679921E1
1.432434436E0,-3.088520169E-1,1.086009884E1,2.124854028E-1,1.086656737E1
1.437402144E0,-2.992752194E-1,1.086009884E1,2.076970041E-1,1.086620681E1
1.442369853E0,-2.992752194E-1,1.086009884E1,2.076970041E-1,1.086620681E1
1.447337561E0,-2.896983922E-1,1.084094524E1,1.981201917E-1,1.084662485E1
1.452305269E0,-2.705447972E-1,1.083136845E1,1.981201917E-1,1.083655796E1
1.457272978E0,-2.657563984E-1,1.082658005E1,1.885433793E-1,1.083148238E1
1.462240686E0,-2.274491638E-1,1.081700325E1,1.981201917E-1,1.082120807E1
1.467208394E0,-2.178723514E-1,1.079306126E1,2.029085904E-1,1.079716683E1
1.472176103E0,-2.035071403E-1,1.073081207E1,2.029085904E-1,1.073465951E1
1.477143811E0,-2.130839527E-1,1.064462090E1,2.555810213E-1,1.064982068E1
1.482111519E0,-1.412578970E-1,1.068771648E1,2.603694201E-1,1.069182069E1
1.487079228E0,-7.900865376E-2,1.065898609E1,2.220622003E-1,1.066159174E1
1.492046936E0,-4.070143029E-2,1.060631371E1,2.603694201E-1,1.060958714E1
1.497014644E0,-4.548983276E-2,1.062546730E1,2.699462473E-1,1.062899316E1
1.501982301E0,2.154781483E-2,1.060152531E1,2.555810213E-1,1.060462752E1
1.506949957E0,4.548983276E-2,1.054406452E1,2.699462473E-1,1.054761760E1
1.511917613E0,4.548983276E-2,1.049618053E1,2.603694201E-1,1.049950796E1
1.516885269E0,4.070143029E-2,1.042914295E1,2.795230448E-1,1.043296758E1
1.521852926E0,6.464344263E-2,1.042435455E1,2.795230448E-1,1.042830186E1
1.526820582E0,8.379705995E-2,1.045787334E1,2.460042238E-1,1.046110199E1
1.531788238E0,9.337386489E-2,1.041477776E1,2.316390127E-1,1.041777188E1
1.536755894E0,1.221042871E-1,1.040520096E1,2.220622003E-1,1.040828651E1
1.541723551E0,1.316810995E-1,1.036689377E1,2.076970041E-1,1.036981024E1
1.546691207E0,1.364694983E-1,1.032379818E1,2.076970041E-1,1.032678899E1
1.551658863E0,1.316810995E-1,1.025197124E1,2.076970041E-1,1.025492040E1
1.556626519E0,1.221042871E-1,1.021366405E1,1.981201917E-1,1.021631511E1
1.561594176E0,1.460463107E-1,1.021845245E1,1.981201917E-1,1.022141632E1
1.566561832E0,1.508347094E-1,1.022802925E1,1.693897694E-1,1.023054380E1
1.571529488E0,1.556231081E-1,1.021845245E1,1.262941360E-1,1.022041777E1
1.576497144E0,1.556231081E-1,1.019929886E1,1.071405262E-1,1.020104871E1
