"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.149024656E0,-5.291185975E-1,9.983820915E0,3.052607179E-2,9.997878695E0
1.153992468E0,-5.099649429E-1,9.988609314E0,3.531447425E-2,1.000168123E1
1.158960281E0,-4.908113480E-1,9.988609314E0,4.489128292E-2,1.000076132E1
1.163928093E0,-4.716577232E-1,9.983820915E0,4.967968538E-2,9.995079247E0
1.168895906E0,-4.381389022E-1,9.974244118E0,4.489128292E-2,9.983963474E0
1.173863718E0,-3.998316824E-1,9.974244118E0,6.883329898E-2,9.982492130E0
1.178831531E0,-3.615244627E-1,9.959878922E0,7.841010392E-2,9.966746521E0
1.183799291E0,-3.184288144E-1,9.955090523E0,8.798690885E-2,9.960570562E0
1.188767051E0,-2.753331959E-1,9.950302124E0,9.756372124E-2,9.954588862E0
1.193734812E0,-2.226607651E-1,9.940725327E0,1.071405262E-1,9.943795901E0
1.198702572E0,-1.795651317E-1,9.926360130E0,1.167173311E-1,9.928670203E0
1.203670333E0,-1.173158810E-1,9.916783333E0,1.358709484E-1,9.918407917E0
1.208638093E0,-5.985504389E-2,9.902418137E0,1.406593472E-1,9.903597964E0
1.213605853E0,2.394201700E-3,9.888052940E0,1.550245583E-1,9.889268390E0
1.218573614E0,5.985504389E-2,9.868899345E0,1.550245583E-1,9.870298351E0
1.223541374E0,1.221042871E-1,9.840168953E0,1.741781682E-1,9.842467806E0
1.228509135E0,1.891419291E-1,9.816226959E0,1.789665818E-1,9.819680006E0
1.233476895E0,2.561795712E-1,9.797073364E0,1.981201917E-1,9.802424500E0
1.238444656E0,3.184288144E-1,9.768342972E0,1.933317930E-1,9.775443648E0
1.243412416E0,3.758896589E-1,9.744400978E0,2.029085904E-1,9.753759037E0
1.248380176E0,4.381389022E-1,9.725247383E0,2.029085904E-1,9.737226210E0
1.253347937E0,4.955997467E-1,9.696516991E0,2.076970041E-1,9.711395312E0
1.258315697E0,5.339069963E-1,9.658209801E0,2.220622003E-1,9.675504372E0
1.263283458E0,5.961562395E-1,9.643844604E0,2.076970041E-1,9.664485453E0
1.268251218E0,6.344634295E-1,9.610325813E0,2.172738016E-1,9.633696797E0
1.273218978E0,6.679822803E-1,9.591172218E0,2.268506140E-1,9.617080953E0
1.278186739E0,7.158663273E-1,9.567230225E0,2.124854028E-1,9.596327882E0
1.283154499E0,7.445967197E-1,9.543288231E0,2.220622003E-1,9.574867422E0
1.288122260E0,7.637503147E-1,9.504981041E0,2.220622003E-1,9.538201652E0
1.293090020E0,7.972691655E-1,9.504981041E0,2.220622003E-1,9.540944101E0
1.298057781E0,8.068459630E-1,9.481039047E0,2.172738016E-1,9.517789120E0
1.303025541E0,8.068459630E-1,9.481039047E0,2.172738016E-1,9.517789120E0
1.307993301E0,8.212111592E-1,9.471462250E0,2.172738016E-1,9.509479104E0
1.312961062E0,8.164227605E-1,9.466673851E0,2.076970041E-1,9.504083226E0
1.317928822E0,8.068459630E-1,9.476250648E0,2.029085904E-1,9.512701964E0
1.322896583E0,8.020575643E-1,9.476250648E0,1.981201917E-1,9.512196082E0
1.327864343E0,7.876923680E-1,9.476250648E0,2.029085904E-1,9.511096546E0
1.332832103E0,7.637503147E-1,9.495404243E0,2.029085904E-1,9.528231115E0
1.337799864E0,7.445967197E-1,9.504981041E0,1.933317930E-1,9.536061349E0
1.342767624E0,7.015010715E-1,9.528923035E0,1.837549806E-1,9.556476539E0
1.347735385E0,6.631938815E-1,9.548076630E0,1.837549806E-1,9.572844893E0
1.352703145E0,6.296750307E-1,9.576807022E0,1.885433793E-1,9.599337060E0
1.357670906E0,5.722141862E-1,9.600749016E0,1.789665818E-1,9.619451116E0
1.362638666E0,5.339069963E-1,9.629479408E0,1.789665818E-1,9.645929680E0
1.367606426E0,4.764461517E-1,9.653421402E0,1.693897694E-1,9.666656019E0
1.372574187E0,4.333505034E-1,9.686940193E0,1.693897694E-1,9.698107849E0
1.377541947E0,3.663128614E-1,9.710882187E0,1.741781682E-1,9.719349566E0
1.382509708E0,3.040636182E-1,9.730035782E0,1.646013707E-1,9.736177105E0
1.387477468E0,2.513911724E-1,9.758766174E0,1.598129570E-1,9.763311679E0
1.392445228E0,1.939303428E-1,9.792284966E0,1.598129570E-1,9.795508869E0
1.397412989E0,1.268926859E-1,9.797073364E0,1.693897694E-1,9.799359222E0
1.402380749E0,7.422025502E-2,9.821015358E0,1.598129570E-1,9.822595965E0
1.407348510E0,1.197100803E-2,9.835380554E0,1.550245583E-1,9.836609506E0
1.412316270E0,-4.548983276E-2,9.840168953E0,1.598129570E-1,9.841571751E0
1.417284031E0,-1.125274822E-1,9.854534149E0,1.550245583E-1,9.856395809E0
1.422251791E0,-1.651999205E-1,9.864110947E0,1.693897694E-1,9.866948296E0
1.427219551E0,-2.178723514E-1,9.868899345E0,1.454477459E-1,9.872375484E0
1.432187312E0,-2.657563984E-1,9.873687744E0,1.454477459E-1,9.878334433E0
1.437155072E0,-3.088520169E-1,9.883264542E0,1.598129570E-1,9.889380554E0
1.442122833E0,-3.375824392E-1,9.878476143E0,1.598129570E-1,9.885534532E0
1.447090593E0,-3.758896589E-1,9.883264542E0,1.502361596E-1,9.891551038E0
1.452058353E0,-4.189853072E-1,9.888052940E0,1.550245583E-1,9.898139838E0
1.457026114E0,-4.429273009E-1,9.888052940E0,1.502361596E-1,9.899108366E0
1.461993874E0,-4.668693244E-1,9.897629738E0,1.502361596E-1,9.909773574E0
1.466961635E0,-4.812345505E-1,9.892841339E0,1.454477459E-1,9.905607074E0
1.471929395E0,-4.955997467E-1,9.892841339E0,1.502361596E-1,9.906386817E0
1.476897156E0,-5.147533417E-1,9.897629738E0,1.502361596E-1,9.912144891E0
1.481864916E0,-5.051765442E-1,9.897629738E0,1.598129570E-1,9.911801953E0
1.486832676E0,-5.003881454E-1,9.892841339E0,1.550245583E-1,9.906701301E0
1.491800437E0,-4.955997467E-1,9.888052940E0,1.502361596E-1,9.901604969E0
